date,channel,spend,leads,call_attempt,call_connected,contracts,premium
2025-01-01,search,5368.7454123403295,25,20,8,2.0,2640.0
2025-01-01,social,4942.296740773279,23,17,8,1.0,1100.0
2025-01-02,search,6905.160865872854,33,26,12,2.0,2640.0
2025-01-02,social,6113.313474589631,29,22,10,1.0,1100.0
2025-01-03,search,2804.2095428622188,12,9,3,0.0,0.0
2025-01-03,social,5612.8710272937815,27,20,9,1.0,1100.0
2025-01-04,search,4903.654629286419,22,17,7,1.0,1122.0
2025-01-04,social,3273.3431648113256,14,10,5,1.0,935.0
2025-01-05,search,2743.944243973237,12,9,4,0.0,0.0
2025-01-05,social,3280.31397166453,14,10,4,0.0,0.0
2025-01-06,search,4846.915638316137,21,16,7,1.0,1320.0
2025-01-06,social,2289.505920796508,9,6,2,0.0,0.0
2025-01-07,search,8075.513882803882,38,30,14,2.0,2640.0
2025-01-07,social,2187.8523315359253,9,6,2,0.0,0.0
2025-01-08,search,5481.254197856589,25,18,8,1.0,1320.0
2025-01-08,social,6423.072632335719,30,22,10,1.0,1100.0
2025-01-09,search,3727.993537891047,17,12,6,1.0,1320.0
2025-01-09,social,6594.935148238616,30,22,11,3.0,3300.0
2025-01-10,search,3308.4913264519105,14,11,5,1.0,1320.0
2025-01-10,social,3121.608068218074,13,10,4,0.0,0.0
2025-01-11,search,6353.304739172152,29,23,11,2.0,2244.0
2025-01-11,social,4192.496472328627,20,15,6,1.0,935.0
2025-01-12,search,4935.480450155023,21,16,7,1.0,1122.0
2025-01-12,social,3956.58865089345,19,15,6,1.0,935.0
2025-01-13,search,7568.157218757972,33,24,11,2.0,2640.0
2025-01-13,social,5245.317848998415,24,18,8,2.0,2200.0
2025-01-14,search,4472.934354954447,20,15,7,1.0,1320.0
2025-01-14,social,6094.347652977088,26,20,9,1.0,1100.0
2025-01-15,search,3162.478019969731,13,9,4,0.0,0.0
2025-01-15,social,1733.8584068010837,8,6,2,0.0,0.0
2025-01-16,search,7806.40353687432,36,29,15,3.0,3960.0
2025-01-16,social,3197.41260138092,13,10,4,1.0,1100.0
2025-01-17,search,3335.8975219312697,13,9,4,1.0,1320.0
2025-01-17,social,2505.929215249092,10,8,4,0.0,0.0
2025-01-18,search,6937.184765941532,32,24,10,2.0,2244.0
2025-01-18,social,3035.4340199909425,14,11,5,1.0,935.0
2025-01-19,search,3083.505364677562,13,10,4,0.0,0.0
2025-01-19,social,2289.4984709805917,9,6,2,0.0,0.0
2025-01-20,search,3209.748227165017,12,9,3,0.0,0.0
2025-01-20,social,4633.448210243932,19,14,6,1.0,1100.0
2025-01-21,search,5473.789797505069,24,18,7,1.0,1320.0
2025-01-21,social,6481.256913945948,30,23,12,3.0,3300.0
2025-01-22,search,7981.747594311224,35,26,12,2.0,2640.0
2025-01-22,social,5669.923965320895,26,19,9,1.0,1100.0
2025-01-23,search,8080.156758883625,36,28,13,3.0,3960.0
2025-01-23,social,6135.654625615348,28,21,9,1.0,1100.0
2025-01-24,search,8107.570890600452,36,25,10,2.0,2640.0
2025-01-24,social,2282.803919557254,9,7,3,0.0,0.0
2025-01-25,search,2138.9114097610504,9,7,3,0.0,0.0
2025-01-25,social,2363.7848839166995,10,7,3,0.0,0.0
2025-01-26,search,3873.80030773888,18,14,6,1.0,1122.0
2025-01-26,social,1916.3229823517204,8,6,2,0.0,0.0
2025-01-27,search,6219.254447339079,27,21,9,1.0,1320.0
2025-01-27,social,5687.650301801561,25,19,9,2.0,2200.0
2025-01-28,search,3538.34771948437,17,12,5,0.0,0.0
2025-01-28,social,2597.108613969967,11,8,3,0.0,0.0
2025-01-29,search,5550.45915135845,25,19,9,1.0,1320.0
2025-01-29,social,4232.338053362857,21,16,7,1.0,1100.0
2025-01-30,search,4381.173654160371,20,15,7,1.0,1320.0
2025-01-30,social,3963.705700240861,17,13,6,1.0,1100.0
2025-01-31,search,6322.609493134519,29,22,9,2.0,2640.0
2025-01-31,social,2406.315347485465,13,9,4,1.0,1100.0
2025-02-01,search,6424.4633307959975,30,23,11,2.0,2142.0
2025-02-01,social,2960.924735135793,13,9,4,0.0,0.0
2025-02-02,search,1710.4776803593263,7,5,2,0.0,0.0
2025-02-02,social,5211.427302227692,23,18,8,1.0,892.0
2025-02-03,search,5521.080665354129,24,18,8,1.0,1260.0
2025-02-03,social,2759.041078692724,12,9,4,0.0,0.0
2025-02-04,search,5667.77411010042,26,20,9,1.0,1260.0
2025-02-04,social,4800.491550519222,22,16,6,1.0,1050.0
2025-02-05,search,5160.177644793317,24,18,7,1.0,1260.0
2025-02-05,social,5629.176361346743,24,18,8,1.0,1050.0
2025-02-06,search,7552.626389246942,35,26,12,2.0,2520.0
2025-02-06,social,5893.829559015025,26,19,9,1.0,1050.0
2025-02-07,search,3247.011226829447,14,10,5,1.0,1260.0
2025-02-07,social,2681.9873572529987,12,9,4,0.0,0.0
2025-02-08,search,6364.601099557496,29,23,10,2.0,2142.0
2025-02-08,social,2513.076197038149,11,8,3,0.0,0.0
2025-02-09,search,3504.085608590712,14,11,5,1.0,1071.0
2025-02-09,social,2996.107678002425,11,8,3,0.0,0.0
2025-02-10,search,3311.046295438437,13,10,4,0.0,0.0
2025-02-10,social,5239.842676858326,24,18,8,1.0,1050.0
2025-02-11,search,2442.940878282687,12,9,4,1.0,1260.0
2025-02-11,social,5040.010408577699,22,16,8,1.0,1050.0
2025-02-12,search,5093.7062499871245,23,16,7,1.0,1260.0
2025-02-12,social,3205.0222844036816,13,10,4,0.0,0.0
2025-02-13,search,5295.734223272814,25,20,10,2.0,2520.0
2025-02-13,social,4432.588804726812,21,16,6,1.0,1050.0
2025-02-14,search,6585.947485485458,29,22,11,2.0,2520.0
2025-02-14,social,1949.5425885116424,8,6,3,0.0,0.0
2025-02-15,search,4715.301042143714,21,16,7,1.0,1071.0
2025-02-15,social,5186.053161557621,23,17,8,1.0,892.0
2025-02-16,search,2363.062389975682,10,7,3,0.0,0.0
2025-02-16,social,1596.068596457766,6,4,1,0.0,0.0
2025-02-17,search,5871.965704452747,24,18,7,1.0,1260.0
2025-02-17,social,6381.6405600606,28,21,9,2.0,2100.0
2025-02-18,search,5477.518095594678,23,17,8,1.0,1260.0
2025-02-18,social,3331.288807928493,13,9,4,0.0,0.0
2025-02-19,search,5379.574914005591,23,18,9,2.0,2520.0
2025-02-19,social,5551.35614294671,26,20,9,1.0,1050.0
2025-02-20,search,2189.414868473601,9,6,3,0.0,0.0
2025-02-20,social,6277.970353744758,30,23,11,2.0,2100.0
2025-02-21,search,4107.523670547723,19,14,7,1.0,1260.0
2025-02-21,social,1981.3242490033576,11,8,3,0.0,0.0
2025-02-22,search,5950.823904900944,27,20,9,1.0,1071.0
2025-02-22,social,5426.240287237427,25,19,8,1.0,892.0
2025-02-23,search,3611.7763710121767,18,13,6,1.0,1071.0
2025-02-23,social,3981.565460903648,16,11,5,1.0,892.0
2025-02-24,search,6776.53068282248,32,25,11,2.0,2520.0
2025-02-24,social,3516.3651213185376,14,10,4,0.0,0.0
2025-02-25,search,6056.925634920815,27,21,10,2.0,2520.0
2025-02-25,social,3512.4150444720526,13,10,5,1.0,1050.0
2025-02-26,search,4064.5413328091945,18,14,6,1.0,1260.0
2025-02-26,social,1826.1704423083115,8,6,2,0.0,0.0
2025-02-27,search,2737.2146000758,12,9,3,0.0,0.0
2025-02-27,social,5393.879506170373,24,18,9,1.0,1050.0
2025-02-28,search,5981.863086045048,27,19,8,1.0,1260.0
