date,channel,campaign_id,message_type,spend,leads,tm_attempts,tm_connected,contracts,premium
2025-10-01,google,G1,Short,12.12,0,0,0,0,0.0
2025-10-01,google,G1,Long,16.8,0,0,0,0,0.0
2025-10-01,google,G2,Short,5.46,0,0,0,0,0.0
2025-10-01,google,G2,Long,8.64,0,0,0,0,0.0
2025-10-02,google,G1,Short,17.89,5,6,1,0,0.0
2025-10-02,google,G1,Long,3.21,0,0,0,0,0.0
2025-10-02,google,G2,Short,13.96,4,1,1,0,0.0
2025-10-02,google,G2,Long,2.56,0,0,0,0,0.0
2025-10-03,google,G1,Short,5.01,2,0,0,0,0.0
2025-10-03,google,G1,Long,24.78,6,6,1,0,0.0
2025-10-03,google,G2,Short,1.43,1,0,0,0,0.0
2025-10-03,google,G2,Long,15.89,2,1,0,0,0.0
2025-10-04,google,G1,Short,11.78,3,1,0,0,0.0
2025-10-04,google,G1,Long,5.79,3,2,0,0,0.0
2025-10-04,google,G2,Short,6.79,1,1,0,0,0.0
2025-10-04,google,G2,Long,7.3,4,1,1,0,0.0
2025-10-05,google,G1,Short,2.86,0,2,2,0,0.0
2025-10-05,google,G1,Long,5.64,4,4,0,0,0.0
2025-10-05,google,G2,Short,5.02,2,5,0,0,0.0
2025-10-05,google,G2,Long,14.08,11,3,2,0,0.0
2025-10-06,google,G1,Short,3.63,1,0,0,0,0.0
2025-10-06,google,G1,Long,18.33,4,6,4,0,0.0
2025-10-06,google,G2,Short,6.18,1,2,0,0,0.0
2025-10-06,google,G2,Long,6.85,5,2,0,0,0.0
2025-10-07,google,G1,Short,6.61,2,1,0,0,0.0
2025-10-07,google,G1,Long,6.61,3,5,2,0,0.0
2025-10-07,google,G2,Short,27.94,8,7,2,0,0.0
2025-10-07,google,G2,Long,5.7,2,0,0,0,0.0
2025-10-08,google,G1,Short,10.54,4,2,1,0,0.0
2025-10-08,google,G1,Long,19.96,5,8,1,0,0.0
2025-10-08,google,G2,Short,9.91,2,0,0,0,0.0
2025-10-08,google,G2,Long,5.38,0,0,0,0,0.0
2025-10-09,google,G1,Short,12.69,4,2,0,0,0.0
2025-10-09,google,G1,Long,11.62,2,1,1,0,0.0
2025-10-09,google,G2,Short,7.02,2,1,0,0,0.0
2025-10-09,google,G2,Long,13.16,4,2,0,0,0.0
2025-10-10,google,G1,Short,5.81,1,1,0,0,0.0
2025-10-10,google,G1,Long,10.1,7,4,1,0,0.0
2025-10-10,google,G2,Short,5.62,1,2,0,0,0.0
2025-10-10,google,G2,Long,23.25,9,5,2,0,0.0
2025-10-11,google,G1,Short,4.37,5,5,2,0,0.0
2025-10-11,google,G1,Long,4.52,4,2,2,0,0.0
2025-10-11,google,G2,Short,15.56,5,10,1,0,0.0
2025-10-11,google,G2,Long,10.34,9,5,3,0,0.0
2025-10-12,google,G1,Short,4.44,1,1,0,0,0.0
2025-10-12,google,G1,Long,11.14,5,7,0,0,0.0
2025-10-12,google,G2,Short,3.11,1,1,1,0,0.0
2025-10-12,google,G2,Long,7.89,9,2,1,0,0.0
2025-10-13,google,G1,Short,8.75,3,3,0,0,0.0
2025-10-13,google,G1,Long,8.65,6,2,2,1,279.63
2025-10-13,google,G2,Short,2.86,1,0,0,0,0.0
2025-10-13,google,G2,Long,10.89,1,5,1,0,0.0
2025-10-14,google,G1,Short,7.96,6,2,0,0,0.0
2025-10-14,google,G1,Long,10.74,3,3,2,0,0.0
2025-10-14,google,G2,Short,17.77,4,5,2,0,0.0
2025-10-14,google,G2,Long,6.07,2,1,0,0,0.0
2025-10-15,google,G1,Short,14.13,6,6,3,1,761.98
2025-10-15,google,G1,Long,2.15,2,2,0,0,0.0
2025-10-15,google,G2,Short,14.64,4,4,2,0,0.0
2025-10-15,google,G2,Long,6.79,5,2,2,0,0.0
2025-10-16,google,G1,Short,6.74,0,1,1,0,0.0
2025-10-16,google,G1,Long,14.14,8,2,1,1,3225.71
2025-10-16,google,G2,Short,15.9,3,4,1,0,0.0
2025-10-16,google,G2,Long,7.54,1,1,0,0,0.0
2025-10-17,google,G1,Short,3.95,0,1,1,0,0.0
2025-10-17,google,G1,Long,4.42,1,0,0,0,0.0
2025-10-17,google,G2,Short,26.04,10,9,1,0,0.0
2025-10-17,google,G2,Long,11.21,2,2,1,0,0.0
2025-10-18,google,G1,Short,16.46,9,9,2,1,899.25
2025-10-18,google,G1,Long,4.15,0,1,0,0,0.0
2025-10-18,google,G2,Short,11.91,8,4,2,0,0.0
2025-10-18,google,G2,Long,2.8,1,1,1,1,899.25
2025-10-19,google,G1,Short,6.04,7,4,1,0,0.0
2025-10-19,google,G1,Long,9.35,4,4,2,0,0.0
2025-10-19,google,G2,Short,12.59,7,6,1,0,0.0
2025-10-19,google,G2,Long,1.51,0,0,0,0,0.0
2025-10-20,google,G1,Short,11.91,4,4,0,0,0.0
2025-10-20,google,G1,Long,10.16,7,3,1,0,0.0
2025-10-20,google,G2,Short,8.05,4,3,2,0,0.0
2025-10-20,google,G2,Long,1.7,0,0,0,0,0.0
2025-10-21,google,G1,Short,4.01,1,0,0,0,0.0
2025-10-21,google,G1,Long,7.26,3,2,2,2,1951.45
2025-10-21,google,G2,Short,16.04,7,5,1,0,0.0
2025-10-21,google,G2,Long,11.48,3,5,0,0,0.0
2025-10-22,google,G1,Short,6.71,2,2,1,0,0.0
2025-10-22,google,G1,Long,16.06,6,2,0,0,0.0
2025-10-22,google,G2,Short,13.21,6,6,1,0,0.0
2025-10-22,google,G2,Long,5.33,4,2,0,0,0.0
2025-10-23,google,G1,Short,4.65,2,0,0,0,0.0
2025-10-23,google,G1,Long,11.87,2,1,1,0,0.0
2025-10-23,google,G2,Short,5.17,2,5,0,0,0.0
2025-10-23,google,G2,Long,21.77,8,6,3,2,1989.13
2025-10-24,google,G1,Short,8.02,6,6,1,0,0.0
2025-10-24,google,G1,Long,3.41,2,1,1,0,0.0
2025-10-24,google,G2,Short,10.95,5,7,1,0,0.0
2025-10-24,google,G2,Long,19.77,9,9,3,0,0.0
2025-10-25,google,G1,Short,9.28,6,8,1,0,0.0
2025-10-25,google,G1,Long,10.52,8,5,1,0,0.0
2025-10-25,google,G2,Short,9.79,5,4,2,0,0.0
2025-10-25,google,G2,Long,1.64,0,1,1,0,0.0
2025-10-26,google,G1,Short,11.32,11,6,3,0,0.0
2025-10-26,google,G1,Long,7.05,7,7,1,1,4228.73
2025-10-26,google,G2,Short,6.29,4,6,1,0,0.0
2025-10-26,google,G2,Long,4.14,3,2,1,1,4228.73
2025-10-27,google,G1,Short,7.84,8,3,3,0,0.0
2025-10-27,google,G1,Long,9.04,5,4,1,0,0.0
2025-10-27,google,G2,Short,16.47,7,8,2,1,1163.03
2025-10-27,google,G2,Long,1.53,0,1,0,0,0.0
2025-10-28,google,G1,Short,9.68,3,2,0,0,0.0
2025-10-28,google,G1,Long,6.64,0,2,0,0,0.0
2025-10-28,google,G2,Short,10.77,5,2,1,1,1047.77
2025-10-28,google,G2,Long,9.66,6,1,1,1,1047.77
2025-10-29,google,G1,Short,9.97,3,5,0,0,0.0
2025-10-29,google,G1,Long,17.18,8,5,3,0,0.0
2025-10-29,google,G2,Short,9.49,3,2,2,0,0.0
2025-10-29,google,G2,Long,6.74,6,1,0,0,0.0
2025-10-30,google,G1,Short,5.52,3,1,0,0,0.0
