lead_id,occurred_at,channel
Search_2025-01-01 00:00:00_l0,2025-01-01,Search
Search_2025-01-01 00:00:00_l1,2025-01-01,Search
Search_2025-01-01 00:00:00_l2,2025-01-01,Search
Search_2025-01-01 00:00:00_l3,2025-01-01,Search
Search_2025-01-01 00:00:00_l4,2025-01-01,Search
Search_2025-01-01 00:00:00_l5,2025-01-01,Search
Search_2025-01-01 00:00:00_l6,2025-01-01,Search
Search_2025-01-01 00:00:00_l7,2025-01-01,Search
Search_2025-01-01 00:00:00_l8,2025-01-01,Search
Search_2025-01-01 00:00:00_l9,2025-01-01,Search
Search_2025-01-01 00:00:00_l10,2025-01-01,Search
Search_2025-01-01 00:00:00_l11,2025-01-01,Search
Search_2025-01-01 00:00:00_l12,2025-01-01,Search
Search_2025-01-01 00:00:00_l13,2025-01-01,Search
Search_2025-01-01 00:00:00_l14,2025-01-01,Search
Search_2025-01-01 00:00:00_l15,2025-01-01,Search
Search_2025-01-01 00:00:00_l16,2025-01-01,Search
Search_2025-01-01 00:00:00_l17,2025-01-01,Search
Search_2025-01-01 00:00:00_l18,2025-01-01,Search
Search_2025-01-01 00:00:00_l19,2025-01-01,Search
Search_2025-01-01 00:00:00_l20,2025-01-01,Search
Search_2025-01-01 00:00:00_l21,2025-01-01,Search
Search_2025-01-01 00:00:00_l22,2025-01-01,Search
Search_2025-01-01 00:00:00_l23,2025-01-01,Search
Search_2025-01-01 00:00:00_l24,2025-01-01,Search
Social_2025-01-01 00:00:00_l0,2025-01-01,Social
Social_2025-01-01 00:00:00_l1,2025-01-01,Social
Social_2025-01-01 00:00:00_l2,2025-01-01,Social
Social_2025-01-01 00:00:00_l3,2025-01-01,Social
Social_2025-01-01 00:00:00_l4,2025-01-01,Social
Social_2025-01-01 00:00:00_l5,2025-01-01,Social
Social_2025-01-01 00:00:00_l6,2025-01-01,Social
Social_2025-01-01 00:00:00_l7,2025-01-01,Social
Social_2025-01-01 00:00:00_l8,2025-01-01,Social
Social_2025-01-01 00:00:00_l9,2025-01-01,Social
Social_2025-01-01 00:00:00_l10,2025-01-01,Social
Social_2025-01-01 00:00:00_l11,2025-01-01,Social
Social_2025-01-01 00:00:00_l12,2025-01-01,Social
Social_2025-01-01 00:00:00_l13,2025-01-01,Social
Social_2025-01-01 00:00:00_l14,2025-01-01,Social
Social_2025-01-01 00:00:00_l15,2025-01-01,Social
Social_2025-01-01 00:00:00_l16,2025-01-01,Social
Social_2025-01-01 00:00:00_l17,2025-01-01,Social
Social_2025-01-01 00:00:00_l18,2025-01-01,Social
Social_2025-01-01 00:00:00_l19,2025-01-01,Social
Social_2025-01-01 00:00:00_l20,2025-01-01,Social
Social_2025-01-01 00:00:00_l21,2025-01-01,Social
Social_2025-01-01 00:00:00_l22,2025-01-01,Social
Search_2025-01-02 00:00:00_l0,2025-01-02,Search
Search_2025-01-02 00:00:00_l1,2025-01-02,Search
Search_2025-01-02 00:00:00_l2,2025-01-02,Search
Search_2025-01-02 00:00:00_l3,2025-01-02,Search
Search_2025-01-02 00:00:00_l4,2025-01-02,Search
Search_2025-01-02 00:00:00_l5,2025-01-02,Search
Search_2025-01-02 00:00:00_l6,2025-01-02,Search
Search_2025-01-02 00:00:00_l7,2025-01-02,Search
Search_2025-01-02 00:00:00_l8,2025-01-02,Search
Search_2025-01-02 00:00:00_l9,2025-01-02,Search
Search_2025-01-02 00:00:00_l10,2025-01-02,Search
Search_2025-01-02 00:00:00_l11,2025-01-02,Search
Search_2025-01-02 00:00:00_l12,2025-01-02,Search
Search_2025-01-02 00:00:00_l13,2025-01-02,Search
Search_2025-01-02 00:00:00_l14,2025-01-02,Search
Search_2025-01-02 00:00:00_l15,2025-01-02,Search
Search_2025-01-02 00:00:00_l16,2025-01-02,Search
Search_2025-01-02 00:00:00_l17,2025-01-02,Search
Search_2025-01-02 00:00:00_l18,2025-01-02,Search
Search_2025-01-02 00:00:00_l19,2025-01-02,Search
Search_2025-01-02 00:00:00_l20,2025-01-02,Search
Search_2025-01-02 00:00:00_l21,2025-01-02,Search
Search_2025-01-02 00:00:00_l22,2025-01-02,Search
Search_2025-01-02 00:00:00_l23,2025-01-02,Search
Search_2025-01-02 00:00:00_l24,2025-01-02,Search
Search_2025-01-02 00:00:00_l25,2025-01-02,Search
Search_2025-01-02 00:00:00_l26,2025-01-02,Search
Search_2025-01-02 00:00:00_l27,2025-01-02,Search
Search_2025-01-02 00:00:00_l28,2025-01-02,Search
Search_2025-01-02 00:00:00_l29,2025-01-02,Search
Search_2025-01-02 00:00:00_l30,2025-01-02,Search
