event_id,event_time,channel,spend
Search_2025-01-01_s,2025-01-01,Search,5368.7454123403295
Social_2025-01-01_s,2025-01-01,Social,4942.2967407732785
Search_2025-01-02_s,2025-01-02,Search,6905.160865872854
Social_2025-01-02_s,2025-01-02,Social,6113.3134745896305
Search_2025-01-03_s,2025-01-03,Search,2804.2095428622188
Social_2025-01-03_s,2025-01-03,Social,5612.8710272937815
Search_2025-01-04_s,2025-01-04,Search,4903.654629286419
Social_2025-01-04_s,2025-01-04,Social,3273.3431648113256
Search_2025-01-05_s,2025-01-05,Search,2743.9442439732375
Social_2025-01-05_s,2025-01-05,Social,3280.31397166453
Search_2025-01-06_s,2025-01-06,Search,4846.915638316137
Social_2025-01-06_s,2025-01-06,Social,2289.5059207965073
Search_2025-01-07_s,2025-01-07,Search,8075.513882803882
Social_2025-01-07_s,2025-01-07,Social,2187.8523315359253
Search_2025-01-08_s,2025-01-08,Search,5481.254197856589
Social_2025-01-08_s,2025-01-08,Social,6423.0726323357185
Search_2025-01-09_s,2025-01-09,Search,3727.993537891047
Social_2025-01-09_s,2025-01-09,Social,6594.9351482386155
Search_2025-01-10_s,2025-01-10,Search,3308.4913264519105
Social_2025-01-10_s,2025-01-10,Social,3121.608068218074
Search_2025-01-11_s,2025-01-11,Search,6353.304739172152
Social_2025-01-11_s,2025-01-11,Social,4192.496472328627
Search_2025-01-12_s,2025-01-12,Search,4935.4804501550225
Social_2025-01-12_s,2025-01-12,Social,3956.58865089345
Search_2025-01-13_s,2025-01-13,Search,7568.157218757972
Social_2025-01-13_s,2025-01-13,Social,5245.317848998415
Search_2025-01-14_s,2025-01-14,Search,4472.934354954447
Social_2025-01-14_s,2025-01-14,Social,6094.347652977088
Search_2025-01-15_s,2025-01-15,Search,3162.478019969731
Social_2025-01-15_s,2025-01-15,Social,1733.8584068010837
Search_2025-01-16_s,2025-01-16,Search,7806.40353687432
Social_2025-01-16_s,2025-01-16,Social,3197.41260138092
Search_2025-01-17_s,2025-01-17,Search,3335.8975219312697
Social_2025-01-17_s,2025-01-17,Social,2505.9292152490916
Search_2025-01-18_s,2025-01-18,Search,6937.184765941532
Social_2025-01-18_s,2025-01-18,Social,3035.4340199909425
Search_2025-01-19_s,2025-01-19,Search,3083.505364677562
Social_2025-01-19_s,2025-01-19,Social,2289.4984709805913
Search_2025-01-20_s,2025-01-20,Search,3209.748227165017
Social_2025-01-20_s,2025-01-20,Social,4633.448210243932
Search_2025-01-21_s,2025-01-21,Search,5473.789797505069
Social_2025-01-21_s,2025-01-21,Social,6481.256913945948
Search_2025-01-22_s,2025-01-22,Search,7981.747594311224
Social_2025-01-22_s,2025-01-22,Social,5669.923965320895
Search_2025-01-23_s,2025-01-23,Search,8080.156758883625
Social_2025-01-23_s,2025-01-23,Social,6135.654625615348
Search_2025-01-24_s,2025-01-24,Search,8107.570890600452
Social_2025-01-24_s,2025-01-24,Social,2282.8039195572546
Search_2025-01-25_s,2025-01-25,Search,2138.9114097610504
Social_2025-01-25_s,2025-01-25,Social,2363.7848839166995
Search_2025-01-26_s,2025-01-26,Search,3873.80030773888
Social_2025-01-26_s,2025-01-26,Social,1916.3229823517204
Search_2025-01-27_s,2025-01-27,Search,6219.254447339079
Social_2025-01-27_s,2025-01-27,Social,5687.650301801561
Search_2025-01-28_s,2025-01-28,Search,3538.34771948437
Social_2025-01-28_s,2025-01-28,Social,2597.108613969967
Search_2025-01-29_s,2025-01-29,Search,5550.45915135845
Social_2025-01-29_s,2025-01-29,Social,4232.338053362857
Search_2025-01-30_s,2025-01-30,Search,4381.173654160371
Social_2025-01-30_s,2025-01-30,Social,3963.705700240861
Search_2025-01-31_s,2025-01-31,Search,6322.609493134519
Social_2025-01-31_s,2025-01-31,Social,2406.315347485465
Search_2025-02-01_s,2025-02-01,Search,6424.4633307959975
Social_2025-02-01_s,2025-02-01,Social,2960.924735135793
