lead_id,customer_id,lead_date,channel,campaign_id,message_type,attempted,connected,contracted,policy_id,contract_date,premium
L20250825_279176,U10279176,2025-08-25,meta,ME_C06,DA,0,0,0,,,0
L20251008_286196,U10286196,2025-10-08,meta,ME_C06,SA,0,0,0,,,0
L20250802_131538,U10131538,2025-08-02,google,GO_C04,SA,0,0,0,,,0
L20251212_045309,U10045309,2025-12-12,google,GO_C01,SA,1,1,1,P20251224_844681,2025-12-24,53274
L20250912_145550,U10145550,2025-09-12,google,GO_C05,DA,0,0,0,,,0
L20260125_221886,U10221886,2026-01-25,kakao,KA_C05,DA,0,0,0,,,0
L20251219_322420,U10322420,2025-12-19,naver,NA_C02,DA,0,0,0,,,0
L20251030_057587,U10057587,2025-10-30,google,GO_C02,DA,1,0,0,,,0
L20250902_033230,U10033230,2025-09-02,google,GO_C01,SA,0,0,0,,,0
L20251225_140132,U10140132,2025-12-25,google,GO_C04,SA,1,1,1,P20260101_440618,2026-01-01,48002
L20260105_347813,U10347813,2026-01-05,naver,NA_C03,DA,1,1,1,P20260123_511838,2026-01-23,47194
L20251201_019540,U10019540,2025-12-01,google,GO_C01,DA,0,0,0,,,0
L20260105_178531,U10178531,2026-01-05,google,GO_C06,DA,1,1,0,,,0
L20251224_277670,U10277670,2025-12-24,meta,ME_C05,SA,0,0,0,,,0
L20251016_038382,U10038382,2025-10-16,google,GO_C01,SA,1,0,0,,,0
L20260109_155901,U10155901,2026-01-09,google,GO_C05,DA,0,0,0,,,0
L20260106_025757,U10025757,2026-01-06,google,GO_C01,DA,1,1,0,,,0
L20250831_077877,U10077877,2025-08-31,google,GO_C03,DA,0,0,0,,,0
L20260101_324026,U10324026,2026-01-01,naver,NA_C02,DA,0,0,0,,,0
L20251019_276339,U10276339,2025-10-19,meta,ME_C05,SA,1,0,0,,,0
L20250930_195530,U10195530,2025-09-30,kakao,KA_C01,SA,1,1,1,P20251022_100494,2025-10-22,57164
L20251120_125862,U10125862,2025-11-20,google,GO_C04,DA,1,1,0,,,0
L20251107_069350,U10069350,2025-11-07,google,GO_C02,SA,1,1,1,P20251128_807903,2025-11-28,63018
L20251204_060005,U10060005,2025-12-04,google,GO_C02,DA,0,0,0,,,0
L20251214_112322,U10112322,2025-12-14,google,GO_C03,SA,1,1,1,P20251229_818937,2025-12-29,47966
L20251027_455130,U10455130,2025-10-27,toss,TO_C06,SA,1,1,1,P20251101_692780,2025-11-01,44512
L20250909_006300,U10006300,2025-09-09,google,GO_C01,DA,0,0,0,,,0
L20250915_079637,U10079637,2025-09-15,google,GO_C03,DA,1,1,0,,,0
L20251030_068889,U10068889,2025-10-30,google,GO_C02,SA,0,0,0,,,0
L20251210_282774,U10282774,2025-12-10,meta,ME_C06,DA,0,0,0,,,0
L20250801_352340,U10352340,2025-08-01,naver,NA_C04,DA,1,1,1,P20250826_635743,2025-08-26,42641
L20251213_434688,U10434688,2025-12-13,toss,TO_C03,SA,1,1,1,P20260111_964013,2026-01-11,59287
L20250803_348470,U10348470,2025-08-03,naver,NA_C03,SA,1,1,0,,,0
L20250918_423074,U10423074,2025-09-18,toss,TO_C02,DA,0,0,0,,,0
L20251230_384457,U10384457,2025-12-30,naver,NA_C05,DA,0,0,0,,,0
L20250910_133816,U10133816,2025-09-10,google,GO_C04,SA,1,1,0,,,0
L20250906_033697,U10033697,2025-09-06,google,GO_C01,SA,1,1,1,P20250914_208763,2025-09-14,49058
L20251217_282983,U10282983,2025-12-17,meta,ME_C06,DA,1,1,1,P20251227_892317,2025-12-27,41510
L20251015_314703,U10314703,2025-10-15,naver,NA_C02,DA,1,0,0,,,0
L20251203_059933,U10059933,2025-12-03,google,GO_C02,DA,0,0,0,,,0
L20250919_054548,U10054548,2025-09-19,google,GO_C02,DA,0,0,0,,,0
L20251017_409671,U10409671,2025-10-17,naver,NA_C06,SA,1,1,0,,,0
L20251031_228332,U10228332,2025-10-31,kakao,KA_C06,DA,0,0,0,,,0
L20250830_397787,U10397787,2025-08-30,naver,NA_C06,DA,0,0,0,,,0
L20250805_099014,U10099014,2025-08-05,google,GO_C03,SA,0,0,0,,,0
L20251107_015750,U10015750,2025-11-07,google,GO_C01,DA,0,0,0,,,0
L20250916_285601,U10285601,2025-09-16,meta,ME_C06,SA,1,1,1,P20251010_918520,2025-10-10,40471
L20260126_210302,U10210302,2026-01-26,kakao,KA_C03,SA,1,0,0,,,0
L20251206_060149,U10060149,2025-12-06,google,GO_C02,DA,1,1,1,P20251216_673501,2025-12-16,53277
L20250818_202426,U10202426,2025-08-18,kakao,KA_C02,SA,1,1,0,,,0
L20250922_160677,U10160677,2025-09-22,google,GO_C05,SA,0,0,0,,,0
L20251210_338757,U10338757,2025-12-10,naver,NA_C02,SA,1,1,1,P20251231_842623,2025-12-31,46874
L20250823_407279,U10407279,2025-08-23,naver,NA_C06,SA,1,1,1,P20250823_894477,2025-08-23,42182
L20250811_374548,U10374548,2025-08-11,naver,NA_C05,DA,1,0,0,,,0
L20251006_271880,U10271880,2025-10-06,meta,ME_C05,DA,1,0,0,,,0
L20251014_430995,U10430995,2025-10-14,toss,TO_C03,DA,1,1,1,P20251028_668978,2025-10-28,52133
L20251115_224476,U10224476,2025-11-15,kakao,KA_C05,SA,1,0,0,,,0
L20251104_335513,U10335513,2025-11-04,naver,NA_C02,SA,0,0,0,,,0
L20260114_026969,U10026969,2026-01-14,google,GO_C01,DA,0,0,0,,,0
L20260113_063009,U10063009,2026-01-13,google,GO_C02,DA,0,0,0,,,0
L20260105_394894,U10394894,2026-01-05,naver,NA_C05,SA,0,0,0,,,0
L20250816_234348,U10234348,2025-08-16,meta,ME_C01,DA,1,1,1,P20250913_293677,2025-09-13,47564
L20251029_136602,U10136602,2025-10-29,google,GO_C04,SA,0,0,0,,,0
L20260121_456987,U10456987,2026-01-21,toss,TO_C06,SA,0,0,0,,,0
L20250901_329832,U10329832,2025-09-01,naver,NA_C02,SA,1,0,0,,,0
L20250909_349343,U10349343,2025-09-09,naver,NA_C03,SA,1,1,1,P20250930_711164,2025-09-30,33958
L20251203_263183,U10263183,2025-12-03,meta,ME_C04,DA,0,0,0,,,0
L20250927_146733,U10146733,2025-09-27,google,GO_C05,DA,1,0,0,,,0
L20251105_108380,U10108380,2025-11-05,google,GO_C03,SA,0,0,0,,,0
L20251226_216204,U10216204,2025-12-26,kakao,KA_C04,SA,0,0,0,,,0
L20250912_422953,U10422953,2025-09-12,toss,TO_C02,DA,0,0,0,,,0
L20251021_455021,U10455021,2025-10-21,toss,TO_C06,SA,0,0,0,,,0
L20251218_046146,U10046146,2025-12-18,google,GO_C01,SA,0,0,0,,,0
L20251210_185626,U10185626,2025-12-10,google,GO_C06,SA,1,0,0,,,0
L20251119_428335,U10428335,2025-11-19,toss,TO_C02,SA,1,0,0,,,0
L20251029_085839,U10085839,2025-10-29,google,GO_C03,DA,0,0,0,,,0
L20251015_011884,U10011884,2025-10-15,google,GO_C01,DA,0,0,0,,,0
L20251216_403752,U10403752,2025-12-16,naver,NA_C06,DA,0,0,0,,,0
L20251017_206111,U10206111,2025-10-17,kakao,KA_C03,DA,1,1,1,P20251030_214263,2025-10-30,43935
L20251224_225386,U10225386,2025-12-24,kakao,KA_C05,SA,1,1,1,P20260117_993721,2026-01-17,45245
L20251231_155060,U10155060,2025-12-31,google,GO_C05,DA,0,0,0,,,0
L20251219_403925,U10403925,2025-12-19,naver,NA_C06,DA,1,1,1,P20260112_527744,2026-01-12,41576
L20250824_430085,U10430085,2025-08-24,toss,TO_C03,DA,0,0,0,,,0
L20250903_214387,U10214387,2025-09-03,kakao,KA_C04,SA,1,1,1,P20250908_683151,2025-09-08,47721
L20251011_105718,U10105718,2025-10-11,google,GO_C03,SA,0,0,0,,,0
L20250910_415310,U10415310,2025-09-10,toss,TO_C01,DA,0,0,0,,,0
L20251020_315324,U10315324,2025-10-20,naver,NA_C02,DA,1,1,1,P20251116_970584,2025-11-16,55024
L20251016_173523,U10173523,2025-10-16,google,GO_C06,DA,0,0,0,,,0
L20251221_216132,U10216132,2025-12-21,kakao,KA_C04,SA,0,0,0,,,0
L20251230_024645,U10024645,2025-12-30,google,GO_C01,DA,0,0,0,,,0
L20250826_353987,U10353987,2025-08-26,naver,NA_C04,DA,1,0,0,,,0
L20251003_161403,U10161403,2025-10-03,google,GO_C05,SA,0,0,0,,,0
L20251229_372337,U10372337,2025-12-29,naver,NA_C04,SA,0,0,0,,,0
L20260112_213524,U10213524,2026-01-12,kakao,KA_C04,DA,0,0,0,,,0
L20250813_075448,U10075448,2025-08-13,google,GO_C03,DA,0,0,0,,,0
