date,channel,spend,leads,tm_attempts,tm_connected,contracts,premium,cpl,cpa_contract,connect_rate,close_rate,leads_per_spend,attempts_per_lead,connected_per_attempt,contracts_per_connected,premium_per_contract,roi,roi_implied
2025-10-01,google,43.02,0,0,0,0,0.0,,,,,0.0,,,,,0.0,
2025-10-02,google,37.62,9,7,3,0,0.0,4.18,,0.42857142857142855,0.0,0.23923444976076558,0.7777777777777778,0.42857142857142855,0.0,,0.0,
2025-10-03,google,47.1,11,7,1,0,0.0,4.281818181818182,,0.14285714285714285,0.0,0.23354564755838642,0.6363636363636364,0.14285714285714285,0.0,,0.0,
2025-10-04,google,31.66,11,5,1,0,0.0,2.8781818181818184,,0.2,0.0,0.3474415666456096,0.45454545454545453,0.2,0.0,,0.0,
2025-10-05,google,27.59,17,14,4,0,0.0,1.6229411764705883,,0.2857142857142857,0.0,0.6161652772743748,0.8235294117647058,0.2857142857142857,0.0,,0.0,
2025-10-06,google,34.99,11,10,4,0,0.0,3.180909090909091,,0.4,0.0,0.31437553586739064,0.9090909090909091,0.4,0.0,,0.0,
2025-10-07,google,46.85,15,13,5,2,3416.9,3.1233333333333335,23.425,0.38461538461538464,0.4,0.32017075773745995,0.8666666666666667,0.38461538461538464,0.4,1708.45,72.93276414087514,72.93276414087514
2025-10-08,google,45.79,11,10,2,0,0.0,4.162727272727273,,0.2,0.0,0.24022712382616293,0.9090909090909091,0.2,0.0,,0.0,
2025-10-09,google,44.5,12,6,2,2,1289.33,3.7083333333333335,22.25,0.3333333333333333,1.0,0.2696629213483146,0.5,0.3333333333333333,1.0,644.665,28.97370786516854,28.973707865168535
2025-10-10,google,44.77,18,12,3,0,0.0,2.4872222222222224,,0.25,0.0,0.40205494750949294,0.6666666666666666,0.25,0.0,,0.0,
2025-10-11,google,34.79,23,22,8,0,0.0,1.5126086956521738,,0.36363636363636365,0.0,0.6611095142282265,0.9565217391304348,0.36363636363636365,0.0,,0.0,
2025-10-12,google,26.57,16,11,2,0,0.0,1.660625,,0.18181818181818182,0.0,0.602182913059842,0.6875,0.18181818181818182,0.0,,0.0,
2025-10-13,google,31.15,11,10,4,1,279.63,2.8318181818181816,31.15,0.4,0.25,0.3531300160513644,0.9090909090909091,0.4,0.25,279.63,8.976886035313003,8.976886035313003
2025-10-14,google,42.54,15,11,4,1,963.8,2.836,42.54,0.36363636363636365,0.25,0.3526093088857546,0.7333333333333333,0.36363636363636365,0.25,963.8,22.656323460272684,22.65632346027268
2025-10-15,google,37.71,17,14,7,1,761.98,2.218235294117647,37.71,0.5,0.14285714285714285,0.45080880403076107,0.8235294117647058,0.5,0.14285714285714285,761.98,20.20631132325643,20.206311323256426
2025-10-16,google,44.32,12,8,4,2,3225.71,3.6933333333333334,22.16,0.5,0.5,0.27075812274368233,0.6666666666666666,0.5,0.5,1612.855,72.78226534296029,72.7822653429603
2025-10-17,google,45.61,13,12,4,0,0.0,3.5084615384615385,,0.3333333333333333,0.0,0.2850252137689103,0.9230769230769231,0.3333333333333333,0.0,,0.0,
2025-10-18,google,35.32,18,15,6,2,1798.5,1.9622222222222223,17.66,0.4,0.3333333333333333,0.5096262740656852,0.8333333333333334,0.4,0.3333333333333333,899.25,50.92015855039637,50.92015855039639
2025-10-19,google,29.49,18,14,4,0,0.0,1.6383333333333332,,0.2857142857142857,0.0,0.6103763987792472,0.7777777777777778,0.2857142857142857,0.0,,0.0,
2025-10-20,google,31.83,15,10,3,0,0.0,2.122,,0.3,0.0,0.471253534401508,0.6666666666666666,0.3,0.0,,0.0,
2025-10-21,google,38.79,14,12,5,2,1951.45,2.7707142857142855,19.395,0.4166666666666667,0.4,0.3609177623098737,0.8571428571428571,0.4166666666666667,0.4,975.725,50.308069089971646,50.30806908997165
2025-10-22,google,41.31,18,12,2,0,0.0,2.295,,0.16666666666666666,0.0,0.43572984749455335,0.6666666666666666,0.16666666666666666,0.0,,0.0,
2025-10-23,google,43.46,14,12,4,2,1989.13,3.1042857142857145,21.73,0.3333333333333333,0.5,0.32213529682466635,0.8571428571428571,0.3333333333333333,0.5,994.565,45.76921306948919,45.769213069489176
2025-10-24,google,42.14,22,23,7,0,0.0,1.9154545454545455,,0.30434782608695654,0.0,0.5220692928334124,1.0454545454545454,0.30434782608695654,0.0,,0.0,
